Sample ID,Rock ID,Class,Orientation,Perimeter,Area,Axis Major Length,Axis Minor Length,Mean Height,Median Height,Max Height,STD Height,Mean Gradient,STD Gradient,Gradient at Max,Weighted Hu Moment 1,Weighted Hu Moment 2,Weighted Hu Moment 3,Weighted Hu Moment 4
1,22,12,1.396135362952472,56.2842712474619,236,18.683028237023745,16.225072817266458,4.58,3.947,8.28125,3.062,1.9545932,1.6188042,2.154748,0.024254812388833234,2.9526724454521405e-05,1.9548346726561622e-07,2.4879082089773227e-07
1,23,12,-1.2904287895922861,81.14823227814082,380,32.60911062540407,15.095560006869269,5.953,8.11,8.2890625,2.967,1.7766169,1.9262421,2.097363,0.027582989638027963,0.000322976516914089,2.5730636305235877e-07,4.120547363747104e-08
1,24,12,-1.1326594730193862,68.76955262170047,338,24.168634837662633,17.97778193161216,4.97,5.46,8.1484375,2.97,1.7377166,1.4656861,1.3295163,0.02403378293261963,6.263339355561142e-05,9.012644933676813e-07,4.371214634169788e-08
1,25,12,0.9197378963352625,70.18376618407356,342,24.898220945010408,17.6158815622821,5.54,7.496,8.25,3.01,1.793245,1.7423505,5.9023714,0.024083411195113105,0.0001176621135037914,2.6739122740038307e-07,1.1305005922322224e-07
1,26,12,1.5094972061828782,88.76955262170048,498,31.646745272486925,20.892747554543796,5.92,7.926,10.2734375,2.98,1.7357899,1.7923862,0.93997884,0.02543503131886994,0.0001648946675330061,2.435757893488469e-06,3.132433365048885e-07
1,27,12,-0.46807905940230693,63.59797974644666,281,21.016979643085044,17.300642692772236,4.973,5.81,8.109375,3.04,1.867431,1.7827382,0.5755492,0.023478980520604112,1.4223573151422645e-05,6.648247500719167e-07,1.9898813569560066e-07
1,28,12,1.4480247224038916,72.08326112068522,369,23.00211319492362,20.761973513455246,4.754,4.832,8.1484375,2.975,1.6272122,1.5367213,1.7527643,0.02491583470751623,3.5034217107299177e-05,7.719378209151417e-08,2.47771094843528e-07
1,29,12,0.27649124764518607,72.87005768508882,367,26.424819484876203,18.066519882758687,6.617,7.938,8.1484375,2.709,1.6947296,2.2450619,4.5516334,0.022719291254990684,9.621394310165208e-05,5.665780694911479e-07,4.502458191156569e-08
1,30,12,1.2233993840050263,77.84062043356595,400,29.83783434923243,17.259210333841025,6.35,7.945,13.6015625,2.959,1.9651935,2.1978395,3.3066266,0.025620827986536643,0.00024060188512799315,3.563683519761284e-07,6.781022332483934e-08
1,31,12,-0.31376487573337747,59.01219330881976,247,19.704673438027545,16.222359379880523,7.543,7.945,13.8828125,4.684,3.1493285,1.8417592,0.8760131,0.01503080822923886,2.1691047733552804e-05,3.567756777660894e-08,2.293739152973835e-08
